INICIO
0,200,133,120,121,143
0,200,134,119,121,143
0,200,134,115,130,140
0,200,133,109,133,136
0,200,131,104,128,131
0,200,125,98,105,126
0,200,129,94,96,166
0,200,118,94,93,104
0,200,116,87,93,100
0,200,114,84,89,98
0,200,114,80,90,96
0,200,111,76,87,94
0,200,111,72,86,92
0,191,107,67,73,89
0,200,108,64,83,86
0,192,105,60,74,83
0,192,103,57,74,81
0,178,101,56,62,77
0,184,102,56,67,73
0,185,99,52,68,70
0,180,99,53,64,66
0,177,98,55,61,63
0,173,97,53,58,60
0,170,95,53,55,56
0,165,94,50,51,54
0,161,93,48,48,51
0,158,91,45,45,48
0,155,89,42,43,46
0,153,89,40,41,43
0,149,86,37,38,40
0,146,86,35,35,38
0,143,84,32,33,35
2,200,1200,30,30,32
0,200,1517,84,158,143
0,200,144,111,144,181
0,200,134,102,140,141
0,200,134,114,133,138
0,200,130,104,126,134
0,200,138,106,130,170
0,200,130,105,128,124
0,200,132,97,128,147
0,200,139,93,127,188
0,200,135,82,125,185
0,200,137,74,143,182
FIM
